User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
AutoScaling,,2022-03-25T16:04:00Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0dc0bbf249f8fbacd""}]",54fce835-51ca-4099-9d79-a9d32edc7b60,b38ceb1c-cb69-41aa-bbf3-feefc4c6978d,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-23T18:44:01Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0228fa81c3a0e9741""}]",52a20be7-93f5-4835-978f-85d7c778b041,6dea9527-4dfc-42c0-8e37-4f68986fe602,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-21T10:29:23Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b40d4e8b89cc5c24""}]",62a35db1-3023-4879-8603-0b3fe454ad07,c8415c5c-6a08-4b90-a9db-bf08e45d3a2c,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-18T09:02:28Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06a996ebc755d6aae""}]",a9da8a3e-27b0-433d-95c2-0cd25475ffa6,957ec422-b982-4b96-a2b0-7cfe61112cd2,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-14T14:43:03Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0e80cf5eb23dfefeb""}]",24f8ed1e-5791-476c-acb1-2c05683995a7,6c66a5ea-29ec-4a34-b42b-ba49587723fa,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-12T11:56:22Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-07780e1e7e5e0345f""}]",f922ea3a-4815-4c99-abb8-885843674c0f,8b5a54ef-90b0-49e2-bdf7-f646cac4bfa9,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-11T22:54:05Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0aedb51bc7d839984""}]",c9da8d93-e5e4-433f-9dcc-7472aaa8edbb,d0f9fcb7-ad7f-4bfd-9d13-e389b08b1897,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-11T06:27:54Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05738f5f11e239ffd""}]",a9c0f54d-4aef-47fa-93f9-a6bf79187b29,2512befa-4f15-4e62-bce4-48a512924460,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-08T15:19:12Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-033e603b00673a6ea""}]",7580f94b-39eb-474e-bf20-33f4f1172991,c89e87b7-304d-42c9-b282-4a60a759c14a,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-07T05:07:33Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-00d8855fffece8e75""}]",7688f0a4-8646-4168-96d3-e7d95261e21e,0d1e1d76-ec05-4242-bd3c-62a81de790fd,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-03-05T11:07:46Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-078bdb90cd4ae3509""}]",e64e1e37-0a60-4fd0-bc6f-d5a81b41ed88,9803934c-4e17-4d25-8ce7-8e932ba28315,false,AwsApiCall,665843197604,Management
